frage_id;antwort
1;Java
1;R
1;Rust
1;Scala
1;Kotlin
1;Swift
2;Leben
2;Keine Ahnung
2;Genießen
2;Den ganzen Tag Hamburger essen
3;Kölsch
3;Alt
3;Cola
3;Radler
3;Költ
4;Penne
4;Cannelloni
4;Farfalle
4;Gnocchi
4;Fettuccine
5;Schokolade
5;Zitrone
5;Vanille
5;Cookie
5;Waldmeister
6;Schwimmen
6;Fahrrad fahren
6;Schach
6;Kanufahren
6;Klettern
7;Fliegen
7;Unsichtbarkeit
7;Gedanken liebsten
7;Laseraugen
8;Wassermann
8;Fische
8;Löwe
8;Schütze
9;Haus
9;Boot
9;Auto
9;Weltreise
10;Handy
10;PS5
10;Buch
10;Hund
10;Sonnenbrille
10;Pokemonkarten
11;Hund
11;Katze
11;Panda
11;Affe
11;Papagei
12;Island
12;Japan
12;Australien
12;Kanada
